protein1 protein2 combined_score
9606.ENSP00000215832 9606.ENSP00000262189 922
9606.ENSP00000215832 9606.ENSP00000264657 887
9606.ENSP00000215832 9606.ENSP00000339007 392
9606.ENSP00000228682 9606.ENSP00000269305 995
9606.ENSP00000228682 9606.ENSP00000357869 498
9606.ENSP00000256078 9606.ENSP00000324222 549
9606.ENSP00000256078 9606.ENSP00000343741 202
9606.ENSP00000256078 9606.ENSP00000354558 209
9606.ENSP00000256078 9606.ENSP00000384675 809
9606.ENSP00000256078 9606.ENSP00000451828 719
9606.ENSP00000262189 9606.ENSP00000215832 922
9606.ENSP00000262189 9606.ENSP00000264657 556
9606.ENSP00000262189 9606.ENSP00000269571 435
9606.ENSP00000262189 9606.ENSP00000270202 350
9606.ENSP00000262189 9606.ENSP00000339007 444
9606.ENSP00000262189 9606.ENSP00000451828 744
9606.ENSP00000264657 9606.ENSP00000215832 887
9606.ENSP00000264657 9606.ENSP00000262189 556
9606.ENSP00000264657 9606.ENSP00000265433 403
9606.ENSP00000264657 9606.ENSP00000269305 516
9606.ENSP00000264657 9606.ENSP00000357869 436
9606.ENSP00000264657 9606.ENSP00000384675 528
9606.ENSP00000265433 9606.ENSP00000264657 403
9606.ENSP00000265433 9606.ENSP00000278616 763
9606.ENSP00000265433 9606.ENSP00000361423 234
9606.ENSP00000265433 9606.ENSP00000418960 814
9606.ENSP00000269305 9606.ENSP00000228682 995
9606.ENSP00000269305 9606.ENSP00000264657 516
9606.ENSP00000269305 9606.ENSP00000270202 431
9606.ENSP00000269305 9606.ENSP00000275493 331
9606.ENSP00000269305 9606.ENSP00000278616 989
9606.ENSP00000269305 9606.ENSP00000339007 580
9606.ENSP00000269305 9606.ENSP00000354558 731
9606.ENSP00000269305 9606.ENSP00000357869 335
9606.ENSP00000269305 9606.ENSP00000361021 297
9606.ENSP00000269571 9606.ENSP00000262189 435
9606.ENSP00000269571 9606.ENSP00000270202 649
9606.ENSP00000269571 9606.ENSP00000278616 261
9606.ENSP00000269571 9606.ENSP00000324222 308
9606.ENSP00000269571 9606.ENSP00000339007 998
9606.ENSP00000269571 9606.ENSP00000354558 255
9606.ENSP00000269571 9606.ENSP00000361021 982
9606.ENSP00000270202 9606.ENSP00000262189 350
9606.ENSP00000270202 9606.ENSP00000269305 431
9606.ENSP00000270202 9606.ENSP00000269571 649
9606.ENSP00000270202 9606.ENSP00000324222 730
9606.ENSP00000270202 9606.ENSP00000343741 327
9606.ENSP00000270202 9606.ENSP00000361021 917
9606.ENSP00000270202 9606.ENSP00000361423 746
9606.ENSP00000275493 9606.ENSP00000269305 331
9606.ENSP00000275493 9606.ENSP00000339007 865
9606.ENSP00000275493 9606.ENSP00000346839 914
9606.ENSP00000278616 9606.ENSP00000265433 763
9606.ENSP00000278616 9606.ENSP00000269305 989
9606.ENSP00000278616 9606.ENSP00000269571 261
9606.ENSP00000278616 9606.ENSP00000339007 235
9606.ENSP00000278616 9606.ENSP00000343741 422
9606.ENSP00000278616 9606.ENSP00000354558 446
9606.ENSP00000278616 9606.ENSP00000361423 170
9606.ENSP00000324222 9606.ENSP00000256078 549
9606.ENSP00000324222 9606.ENSP00000269571 308
9606.ENSP00000324222 9606.ENSP00000270202 730
9606.ENSP00000324222 9606.ENSP00000339007 438
9606.ENSP00000324222 9606.ENSP00000343741 183
9606.ENSP00000324222 9606.ENSP00000361021 329
9606.ENSP00000339007 9606.ENSP00000215832 392
9606.ENSP00000339007 9606.ENSP00000262189 444
9606.ENSP00000339007 9606.ENSP00000269305 580
9606.ENSP00000339007 9606.ENSP00000269571 998
9606.ENSP00000339007 9606.ENSP00000275493 865
9606.ENSP00000339007 9606.ENSP00000278616 235
